ID,名称,効果
wslot,拡張ホルスター,武器の装備枠 +1
pslot,秘伝の腰袋,パッシブの装備枠 +1
frenzy,狂戦士の血晶,失ったHP 1% につき攻撃力 +1%
clock,狂気の懐中時計,クールダウン -15%。敵の出現数と速度 +15%
critdmg,処刑人の刻印,クリティカル倍率 +50%。非クリティカル -20%
pact,悪魔の契約書,獲得経験値 +50%。敵のステータス +20%
aegis,不動の重鎧,最大HP 2倍。移動速度 -30%
mirror,双面の魔鏡,ボルト/ファイアーが背後にも発射(対象武器の威力 -25%)
fang,吸血の牙,敵撃破時 10% で HP 1 回復
gale,疾風の羽根,ダッシュの消費量 -50%、回復速度 -50%
greed,黄金の杯,獲得ゴールド x1.5。宝箱の報酬 +1
bleed,渇血の棘,刀/アックス/ブレードが出血を付与(5秒)。1スタックにつき被ダメージ +2%、最大スタックは対象武器1つにつき +10。対象外の武器はダメージ -30%
element,元素の冠,ボルト/サンダー/ファイアー/ブリザードのダメージ +25%・サイズ +25%。対象外の武器はダメージ -30%
annihil,光闇の天秤,オーラが「光輝」、ブラックホールが「暗黒」を付与。両方揃うと対消滅し、オーラ+ブラックホールの合計ダメージを範囲に与える
