ID,HP,速度,攻撃力,経験値,半径,AI,特殊,HP@Lv1,HP@Lv5,HP@Lv10,HP@Lv15,HP@Lv20,HP@Lv30,攻撃@Lv1,攻撃@Lv5,攻撃@Lv10,攻撃@Lv15,攻撃@Lv20,攻撃@Lv30,エリートHP@Lv30
zombie,20,13,9,1,5,chase,,20,36,56,76,96,136,9,9.72,10.62,11.52,12.42,14.22,1904
bat,14,30,8,1,4,flutter,,14,25,39,53,67,95,8,8.64,9.44,10.24,11.04,12.64,1333
slime,20,15,9,1,5,hop,分裂→slimelet,20,36,56,76,96,136,9,9.72,10.62,11.52,12.42,14.22,1904
slimelet,8,22,6,1,3,hop,,8,14,22,30,38,54,6,6.48,7.08,7.68,8.28,9.48,762
skeleton,24,18,10,1,5,chase,,24,43,67,91,115,163,10,10.8,11.8,12.8,13.8,15.8,2285
archer,20,16,9,1,5,keep,射撃(CD3.2s/弾速70/威力9),20,36,56,76,96,136,9,9.72,10.62,11.52,12.42,14.22,1904
ghost,22,22,10,1,5,chase,すり抜け,22,40,62,84,106,150,10,10.8,11.8,12.8,13.8,15.8,2094
brute,40,11,13,2,8,chase,ノックバック耐性0.8,40,72,112,152,192,272,13,14.04,15.34,16.64,17.94,20.54,3808
imp,18,34,10,1,4,flutter,,18,32,50,68,86,122,10,10.8,11.8,12.8,13.8,15.8,1714
goblin,160,44,0,12,5,flee,ノックバック耐性0.5,160,288,448,608,768,1088,0,0,0,0,0,0,15232
