敵Lv,到達目安(ボス時間除く),HP倍率,攻撃倍率,速度倍率,経験値倍率,ボスHP倍率
1,0:00,1,1,1,1,1
2,0:30,1.2,1.02,1,1.04,1.08
3,1:00,1.4,1.04,1.01,1.08,1.16
4,1:30,1.6,1.06,1.01,1.12,1.24
5,2:00,1.8,1.08,1.02,1.16,1.32
6,2:30,2,1.1,1.02,1.2,1.4
7,3:00,2.2,1.12,1.03,1.24,1.48
8,3:30,2.4,1.14,1.03,1.28,1.56
9,4:00,2.6,1.16,1.04,1.32,1.64
10,4:30,2.8,1.18,1.05,1.36,1.72
11,5:00,3,1.2,1.05,1.4,1.8
12,5:30,3.2,1.22,1.06,1.44,1.88
13,6:00,3.4,1.24,1.06,1.48,1.96
14,6:30,3.6,1.26,1.07,1.52,2.04
15,7:00,3.8,1.28,1.07,1.56,2.12
16,7:30,4,1.3,1.08,1.6,2.2
17,8:00,4.2,1.32,1.08,1.64,2.28
18,8:30,4.4,1.34,1.09,1.68,2.36
19,9:00,4.6,1.36,1.09,1.72,2.44
20,9:30,4.8,1.38,1.1,1.76,2.52
21,10:00,5,1.4,1.1,1.8,2.6
22,10:30,5.2,1.42,1.11,1.84,2.68
23,11:00,5.4,1.44,1.11,1.88,2.76
24,11:30,5.6,1.46,1.12,1.92,2.84
25,12:00,5.8,1.48,1.12,1.96,2.92
26,12:30,6,1.5,1.13,2,3
27,13:00,6.2,1.52,1.13,2.04,3.08
28,13:30,6.4,1.54,1.14,2.08,3.16
29,14:00,6.6,1.56,1.14,2.12,3.24
30,14:30,6.8,1.58,1.15,2.16,3.32
31,15:00,7,1.6,1.15,2.2,3.4
32,15:30,7.2,1.62,1.16,2.24,3.48
33,16:00,7.4,1.64,1.16,2.28,3.56
34,16:30,7.6,1.66,1.17,2.32,3.64
35,17:00,7.8,1.68,1.17,2.36,3.72
36,17:30,8,1.7,1.18,2.4,3.8
37,18:00,8.2,1.72,1.18,2.44,3.88
38,18:30,8.4,1.74,1.19,2.48,3.96
39,19:00,8.6,1.76,1.19,2.52,4.04
40,19:30,8.8,1.78,1.2,2.56,4.12
