ID,名称,効果(1Lvあたり),最大Lv,Lv1費用,Lv2費用,Lv3費用,Lv4費用,Lv5費用,累計費用
might,剛力,攻撃力 +4%,5,100,200,600,2400,12000,15300
vital,頑健,最大HP +5,5,60,120,360,1440,7200,9180
swift,俊足,移動速度 +3%,5,80,160,480,1920,9600,12240
haste,詠唱,クールダウン -2%,5,125,250,750,3000,15000,19125
growth,成長,獲得経験値 +4%,5,100,200,600,2400,12000,15300
greed,強欲,獲得ゴールド +10%,5,60,120,360,1440,7200,9180
reroll,天運,リロール回数 +1,5,100,200,600,2400,12000,15300
reach,広域,攻撃範囲 +3%,5,90,180,540,2160,10800,13770
crit,会心,クリティカル率 +2%,5,120,240,720,2880,14400,18360
weapon,武器庫,武器の装備枠 +1,1,5000,,,,,5000
passive,道具箱,パッシブの装備枠 +1,1,5000,,,,,5000
chaos,混沌,獲得ゴールド +50%・敵の基礎HP+20%・敵のLvの上昇速度 +20%・周回時に敵Lv+5,5,1000,2500,5000,7500,10000,26000
