時刻(秒),時刻,種別,出現敵,出現間隔(秒),毎秒出現数,最大同時数
0,0:00,通常,zombie,0.95,1.05,60
35,0:35,通常,zombie bat,0.75,1.33,100
80,1:20,通常,bat slime zombie,0.6,1.67,130
130,2:10,通常,skeleton slime bat,0.5,2,160
180,3:00,ボス,king,,,
186,3:06,通常,skeleton archer zombie,0.55,1.82,170
250,4:10,通常,ghost skeleton archer,0.48,2.08,190
320,5:20,通常,ghost brute bat slime,0.45,2.22,200
360,6:00,イベント,horde,,,
420,7:00,ボス,wyrm,,,
426,7:06,通常,brute imp ghost,0.42,2.38,220
500,8:20,通常,imp brute archer skeleton,0.38,2.63,240
560,9:20,イベント,horde,,,
600,10:00,通常,imp brute ghost archer,0.33,3.03,270
630,10:30,イベント,horde,,,
660,11:00,ボス,reaper,,,
666,11:06,通常,imp ghost brute slime,0.4,2.5,240
