ID,名称,段階,CD,威力,数,弾速,貫通,落雷数,範囲,半径,回転,間隔,燃焼/s,持続,吸引,参考DPS,進化素材,説明
bolt,マジックボルト,Lv1,1.1,10,1,160,0,,,,,,,,,9.09,,最も近い敵へ魔法弾を放つ
bolt,マジックボルト,Lv2,1,12,2,165,0,,,,,,,,,24,,最も近い敵へ魔法弾を放つ
bolt,マジックボルト,Lv3,0.95,17,2,175,1,,,,,,,,,35.79,,最も近い敵へ魔法弾を放つ
bolt,マジックボルト,Lv4,0.85,22,3,185,1,,,,,,,,,77.65,,最も近い敵へ魔法弾を放つ
bolt,マジックボルト,Lv5,0.72,30,4,200,2,,,,,,,,,166.67,,最も近い敵へ魔法弾を放つ
bolt,アーケインレイ,EVO,0.6,34,5,210,2,,,,,,,,,283.33,tome,追尾する魔弾の奔流
blade,オービットブレード,Lv1,,9,2,,,,,20,2.8,,,,,,,周囲を回転する刃
blade,オービットブレード,Lv2,,11,3,,,,,22,3,,,,,,,周囲を回転する刃
blade,オービットブレード,Lv3,,15,3,,,,,25,3.3,,,,,,,周囲を回転する刃
blade,オービットブレード,Lv4,,18,4,,,,,28,3.6,,,,,,,周囲を回転する刃
blade,オービットブレード,Lv5,,24,6,,,,,32,4,,,,,,,周囲を回転する刃
blade,ホーリーサークル,EVO,,30,7,,,,,34,4.4,,,,,,area,二重の聖刃が逆回転する
thunder,サンダー,Lv1,3.4,24,,,,1,17,,,,,,,7.06,,ランダムな敵に落雷
thunder,サンダー,Lv2,3.2,30,,,,1,19,,,,,,,9.38,,ランダムな敵に落雷
thunder,サンダー,Lv3,3,40,,,,2,21,,,,,,,26.67,,ランダムな敵に落雷
thunder,サンダー,Lv4,2.8,48,,,,2,24,,,,,,,34.29,,ランダムな敵に落雷
thunder,サンダー,Lv5,2.6,60,,,,3,27,,,,,,,69.23,,ランダムな敵に落雷
thunder,ジャッジメント,EVO,2.3,72,,,,3,30,,,,,,,93.91,lens,落雷が敵から敵へ連鎖する
aura,ホーリーオーラ,Lv1,,8,,,,,,22,,0.5,,,,16,,周囲の敵に継続ダメージ
aura,ホーリーオーラ,Lv2,,11,,,,,,27,,0.5,,,,22,,周囲の敵に継続ダメージ
aura,ホーリーオーラ,Lv3,,14,,,,,,31,,0.45,,,,31.11,,周囲の敵に継続ダメージ
aura,ホーリーオーラ,Lv4,,18,,,,,,37,,0.4,,,,45,,周囲の敵に継続ダメージ
aura,ホーリーオーラ,Lv5,,24,,,,,,43,,0.33,,,,72.73,,周囲の敵に継続ダメージ
aura,サンクチュアリ,EVO,,25,,,,,,60,,0.28,,,,89.29,armor,命中1回につきHP 0.4 回復(1判定で最大5回分)
axe,スローイングアックス,Lv1,1.7,20,1,,,,,,,,,,,11.76,,放物線を描く重い斧
axe,スローイングアックス,Lv2,1.6,24,2,,,,,,,,,,,30,,放物線を描く重い斧
axe,スローイングアックス,Lv3,1.5,32,2,,,,,,,,,,,42.67,,放物線を描く重い斧
axe,スローイングアックス,Lv4,1.3,38,3,,,,,,,,,,,87.69,,放物線を描く重い斧
axe,スローイングアックス,Lv5,1.1,50,4,,,,,,,,,,,181.82,,放物線を描く重い斧
axe,ギガントアックス,EVO,1,72,5,,,,,,,,,,,360,power,巨大化した斧が大地を割る
wisp,スピリットウィスプ,Lv1,1.9,13,1,,3,,,,,,,,,6.84,,敵を追尾する精霊
wisp,スピリットウィスプ,Lv2,1.8,15,2,,3,,,,,,,,,16.67,,敵を追尾する精霊
wisp,スピリットウィスプ,Lv3,1.7,20,2,,4,,,,,,,,,23.53,,敵を追尾する精霊
wisp,スピリットウィスプ,Lv4,1.5,25,3,,5,,,,,,,,,50,,敵を追尾する精霊
wisp,スピリットウィスプ,Lv5,1.2,32,4,,6,,,,,,,,,106.67,,敵を追尾する精霊
wisp,ソウルイーター,EVO,0.9,40,6,,10,,,,,,,,,266.67,magnet,敵を倒すたび(武器問わず)その場から魂を召喚
fire,ファイアー,Lv1,1.8,8,1,,,,,,,,4,,,11.11,,貫通する火炎弾。燃焼を付与
fire,ファイアー,Lv2,1.7,10,1,,,,,,,,6,,,16.47,,貫通する火炎弾。燃焼を付与
fire,ファイアー,Lv3,1.6,14,2,,,,,,,,8,,,32.5,,貫通する火炎弾。燃焼を付与
fire,ファイアー,Lv4,1.4,18,2,,,,,,,,11,,,49.29,,貫通する火炎弾。燃焼を付与
fire,ファイアー,Lv5,1.2,24,3,,,,,,,,15,,,97.5,,貫通する火炎弾。燃焼を付与
fire,インフェルノ,EVO,1,30,4,,,,,,,,22,,,186,regen,着弾毎に爆炎が広がる
blizzard,ブリザード,Lv1,4.5,5,,,,,,23,,,,2.5,,11.11,,吹雪で切り刻み凍傷(減速)を付与
blizzard,ブリザード,Lv2,4.2,7,,,,,,27,,,,3,,20,,吹雪で切り刻み凍傷(減速)を付与
blizzard,ブリザード,Lv3,3.8,9,,,,,,30,,,,3,,28.42,,吹雪で切り刻み凍傷(減速)を付与
blizzard,ブリザード,Lv4,3.4,12,,,,,,35,,,,3.2,,45.18,,吹雪で切り刻み凍傷(減速)を付与
blizzard,ブリザード,Lv5,3,16,,,,,,40,,,,3.5,,74.67,,吹雪で切り刻み凍傷(減速)を付与
blizzard,アブソリュートゼロ,EVO,2.6,20,,,,,,48,,,,4,,123.08,boots,凍傷1スタックごとに被ダメージ+1%。吹雪が毎秒+10%拡大
bhole,ブラックホール,Lv1,6,5,,,,,,30,,,,1,80,8.33,,敵を吸い込む特異点を生成
bhole,ブラックホール,Lv2,5.6,6,,,,,,33,,,,1.2,87,12.86,,敵を吸い込む特異点を生成
bhole,ブラックホール,Lv3,5.2,8,,,,,,37,,,,1.4,93,21.54,,敵を吸い込む特異点を生成
bhole,ブラックホール,Lv4,4.8,10,,,,,,40,,,,1.6,100,33.33,,敵を吸い込む特異点を生成
bhole,ブラックホール,Lv5,4.2,13,,,,,,43,,,,2,110,61.9,,敵を吸い込む特異点を生成
bhole,ビッグクランチ,EVO,4,16,,,,,,55,,,,2.6,130,104,cloak,消滅時に超新星爆発を起こす
katana,刀,Lv1,1,16,1,,,,35,,,,,,,16,,最も近い敵へ素早い斬撃
katana,刀,Lv2,0.9,22,1,,,,40,,,,,,,24.44,,最も近い敵へ素早い斬撃
katana,刀,Lv3,0.85,26,2,,,,46,,,,,,,61.18,,最も近い敵へ素早い斬撃
katana,刀,Lv4,0.8,32,2,,,,52,,,,,,,80,,最も近い敵へ素早い斬撃
katana,刀,Lv5,0.7,40,3,,,,58,,,,,,,171.43,,最も近い敵へ素早い斬撃
katana,鬼神・村正,EVO,0.55,52,3,,,,70,,,,,,,283.64,heart,斬撃の後に斬撃波(50%)。ダッシュで通過した敵を一閃(200%)
