レベル,次Lvまでの必要経験値,累計経験値
1,7,7
2,12,19
3,18,37
4,25,62
5,32,94
6,41,135
7,50,185
8,60,245
9,71,316
10,82,398
11,94,492
12,107,599
13,120,719
14,134,853
15,148,1001
16,163,1164
17,178,1342
18,195,1537
19,211,1748
20,228,1976
21,246,2222
22,264,2486
23,283,2769
24,302,3071
25,322,3393
26,343,3736
27,363,4099
28,385,4484
29,406,4890
30,429,5319
31,452,5771
32,475,6246
33,498,6744
34,523,7267
35,547,7814
36,572,8386
37,598,8984
38,624,9608
39,650,10258
40,677,10935
41,704,11639
42,732,12371
43,760,13131
44,789,13920
45,818,14738
46,847,15585
47,877,16462
48,908,17370
49,938,18308
50,970,19278
51,1001,20279
52,1033,21312
53,1065,22377
54,1098,23475
55,1131,24606
56,1165,25771
57,1199,26970
58,1233,28203
59,1268,29471
60,1303,30774
